,region,land_use,total_suitability
308,Manawatu-Whanganui,Grape,Suitable - already grown
309,Manawatu-Whanganui,Honey-Manuka (Placeholder),Not enough information to exclude
310,Manawatu-Whanganui,Hops,Not enough information to exclude
311,Manawatu-Whanganui,Kale,Not enough information to exclude
312,Manawatu-Whanganui,Kiwifruit (Gold),Suitable - WWO
313,Manawatu-Whanganui,Kiwifruit (Green),Suitable - WWO
314,Manawatu-Whanganui,Kiwifruit (HyperFarm),Not enough information to exclude
315,Manawatu-Whanganui,Lemon (Meyer),Not enough information to exclude
316,Manawatu-Whanganui,Lemon (Yen Ben),Not enough information to exclude
317,Manawatu-Whanganui,Lettuce,Not enough information to exclude
318,Manawatu-Whanganui,Macadamia,Not enough information to exclude
319,Manawatu-Whanganui,Maize,Suitable - WWO
320,Manawatu-Whanganui,Mandarin (Encore),Not enough information to exclude
321,Manawatu-Whanganui,Mandarin (Satsuma),Not enough information to exclude
322,Manawatu-Whanganui,Native Bush,Not enough information to exclude
323,Manawatu-Whanganui,Native regen (Placeholder),Not enough information to exclude
324,Manawatu-Whanganui,Nectarine,Not enough information to exclude
325,Manawatu-Whanganui,Onion,Suitable - already grown
326,Manawatu-Whanganui,Orange (Navel),Not enough information to exclude
327,Manawatu-Whanganui,Orange (Valencia),Not enough information to exclude
328,Manawatu-Whanganui,Pea,Not enough information to exclude
329,Manawatu-Whanganui,Peach,Not enough information to exclude
330,Manawatu-Whanganui,Potato (Fresh Potato),Suitable - already grown
331,Manawatu-Whanganui,Potato (Process Potato),Suitable - already grown
332,Manawatu-Whanganui,Potato (Seed Potato),Not enough information to exclude
333,Manawatu-Whanganui,Potato (Summer Potato),Not enough information to exclude
334,Manawatu-Whanganui,Ryegrass Seed,Not enough information to exclude
335,Manawatu-Whanganui,Sheep/beef,Not enough information to exclude
336,Manawatu-Whanganui,Spinach,Not enough information to exclude
337,Manawatu-Whanganui,Squash,Suitable - already grown
338,Manawatu-Whanganui,Sweetcorn,Not enough information to exclude
339,Manawatu-Whanganui,Tomato,Not enough information to exclude
340,Manawatu-Whanganui,Truffle (Placeholder),Not enough information to exclude
341,Manawatu-Whanganui,Vining Pea,Suitable - already grown
342,Manawatu-Whanganui,Wheat,Suitable - WWO
343,Marlborough,Apple,Suitable - already grown
344,Marlborough,Apricot,Suitable - already grown
345,Marlborough,Arable Crop,Not enough information to exclude
346,Marlborough,Avocado,Unsuitable
347,Marlborough,Barley,Not enough information to exclude
348,Marlborough,Barley (grain),Not enough information to exclude
349,Marlborough,Beetroot,Not enough information to exclude
350,Marlborough,Blueberry,Suitable - already grown
351,Marlborough,Blueberry (HyperFarm),Not enough information to exclude
352,Marlborough,Broccoli,Not enough information to exclude
353,Marlborough,Cabbage,Not enough information to exclude
354,Marlborough,Carrot,Not enough information to exclude
355,Marlborough,Cauliflower,Not enough information to exclude
356,Marlborough,Cherry (CL),Suitable - already grown
357,Marlborough,Cherry (HyperFarm),Not enough information to exclude
358,Marlborough,Cherry (UFO),Suitable - already grown
359,Marlborough,Chestnut (Placeholder),Not enough information to exclude
360,Marlborough,Commercial Forest,Not enough information to exclude
361,Marlborough,Dairy,Not enough information to exclude
362,Marlborough,Dairy Goat,Not enough information to exclude
363,Marlborough,Field Pea,Suitable - already grown
364,Marlborough,Forage Oat,Not enough information to exclude
365,Marlborough,Grape,Suitable - already grown
366,Marlborough,Honey-Manuka (Placeholder),Not enough information to exclude
367,Marlborough,Hops,Suitable - already grown
368,Marlborough,Kale,Not enough information to exclude
369,Marlborough,Kiwifruit (Gold),Suitable - already grown
370,Marlborough,Kiwifruit (Green),Suitable - already grown
371,Marlborough,Kiwifruit (HyperFarm),Not enough information to exclude
372,Marlborough,Lemon (Meyer),Suitable - already grown
373,Marlborough,Lemon (Yen Ben),Suitable - already grown
374,Marlborough,Lettuce,Not enough information to exclude
375,Marlborough,Macadamia,Suitable - already grown
376,Marlborough,Maize,Unsuitable
377,Marlborough,Mandarin (Encore),Suitable - already grown
378,Marlborough,Mandarin (Satsuma),Suitable - already grown
379,Marlborough,Native Bush,Not enough information to exclude
380,Marlborough,Native regen (Placeholder),Not enough information to exclude
381,Marlborough,Nectarine,Suitable - already grown
382,Marlborough,Onion,Suitable - already grown
383,Marlborough,Orange (Navel),Suitable - already grown
384,Marlborough,Orange (Valencia),Suitable - already grown
385,Marlborough,Pea,Not enough information to exclude
386,Marlborough,Peach,Suitable - already grown
387,Marlborough,Potato (Fresh Potato),Suitable - already grown
388,Marlborough,Potato (Process Potato),Suitable - already grown
389,Marlborough,Potato (Seed Potato),Not enough information to exclude
390,Marlborough,Potato (Summer Potato),Not enough information to exclude
391,Marlborough,Ryegrass Seed,Not enough information to exclude
392,Marlborough,Sheep/beef,Not enough information to exclude
393,Marlborough,Spinach,Not enough information to exclude
394,Marlborough,Squash,Not enough information to exclude
395,Marlborough,Sweetcorn,Not enough information to exclude
396,Marlborough,Tomato,Not enough information to exclude
397,Marlborough,Truffle (Placeholder),Not enough information to exclude
398,Marlborough,Vining Pea,Suitable - already grown
399,Marlborough,Wheat,Suitable - WWO
400,Nelson,Apple,Suitable - already grown
401,Nelson,Apricot,Not enough information to exclude
402,Nelson,Arable Crop,Not enough information to exclude
403,Nelson,Avocado,Unsuitable
404,Nelson,Barley,Not enough information to exclude
405,Nelson,Barley (grain),Not enough information to exclude
406,Nelson,Beetroot,Not enough information to exclude
407,Nelson,Blueberry,Suitable - WWO
408,Nelson,Blueberry (HyperFarm),Not enough information to exclude
409,Nelson,Broccoli,Not enough information to exclude
410,Nelson,Cabbage,Not enough information to exclude
411,Nelson,Carrot,Not enough information to exclude
412,Nelson,Cauliflower,Not enough information to exclude
413,Nelson,Cherry (CL),Suitable - WWO
414,Nelson,Cherry (HyperFarm),Not enough information to exclude
415,Nelson,Cherry (UFO),Suitable - WWO
416,Nelson,Chestnut (Placeholder),Not enough information to exclude
417,Nelson,Commercial Forest,Not enough information to exclude
418,Nelson,Dairy,Not enough information to exclude
419,Nelson,Dairy Goat,Not enough information to exclude
420,Nelson,Field Pea,Not enough information to exclude
421,Nelson,Forage Oat,Not enough information to exclude
422,Nelson,Grape,Suitable - WWO
423,Nelson,Honey-Manuka (Placeholder),Not enough information to exclude
424,Nelson,Hops,Not enough information to exclude
425,Nelson,Kale,Not enough information to exclude
426,Nelson,Kiwifruit (Gold),Suitable - WWO
427,Nelson,Kiwifruit (Green),Unsuitable
428,Nelson,Kiwifruit (HyperFarm),Not enough information to exclude
429,Nelson,Lemon (Meyer),Not enough information to exclude
430,Nelson,Lemon (Yen Ben),Not enough information to exclude
431,Nelson,Lettuce,Not enough information to exclude
432,Nelson,Macadamia,Not enough information to exclude
433,Nelson,Maize,Unsuitable
434,Nelson,Mandarin (Encore),Not enough information to exclude
435,Nelson,Mandarin (Satsuma),Not enough information to exclude
436,Nelson,Native Bush,Not enough information to exclude
437,Nelson,Native regen (Placeholder),Not enough information to exclude
438,Nelson,Nectarine,Not enough information to exclude
439,Nelson,Onion,Unsuitable
440,Nelson,Orange (Navel),Not enough information to exclude
441,Nelson,Orange (Valencia),Not enough information to exclude
442,Nelson,Pea,Not enough information to exclude
443,Nelson,Peach,Not enough information to exclude
444,Nelson,Potato (Fresh Potato),Suitable - WWO
445,Nelson,Potato (Process Potato),Suitable - WWO
446,Nelson,Potato (Seed Potato),Not enough information to exclude
447,Nelson,Potato (Summer Potato),Not enough information to exclude
448,Nelson,Ryegrass Seed,Not enough information to exclude
449,Nelson,Sheep/beef,Not enough information to exclude
450,Nelson,Spinach,Not enough information to exclude
451,Nelson,Squash,Not enough information to exclude
452,Nelson,Sweetcorn,Not enough information to exclude
453,Nelson,Tomato,Not enough information to exclude
454,Nelson,Truffle (Placeholder),Not enough information to exclude
455,Nelson,Vining Pea,Suitable - WWO
456,Nelson,Wheat,Suitable - WWO
457,Northland,Apple,Suitable - already grown
458,Northland,Apricot,Suitable - already grown
459,Northland,Arable Crop,Not enough information to exclude
460,Northland,Avocado,Suitable - already grown
461,Northland,Barley,Not enough information to exclude
462,Northland,Barley (grain),Not enough information to exclude
463,Northland,Beetroot,Not enough information to exclude
464,Northland,Blueberry,Suitable - already grown
465,Northland,Blueberry (HyperFarm),Not enough information to exclude
466,Northland,Broccoli,Not enough information to exclude
467,Northland,Cabbage,Not enough information to exclude
468,Northland,Carrot,Not enough information to exclude
469,Northland,Cauliflower,Not enough information to exclude
470,Northland,Cherry (CL),Suitable - already grown
471,Northland,Cherry (HyperFarm),Not enough information to exclude
472,Northland,Cherry (UFO),Suitable - already grown
473,Northland,Chestnut (Placeholder),Not enough information to exclude
474,Northland,Commercial Forest,Not enough information to exclude
475,Northland,Dairy,Not enough information to exclude
476,Northland,Dairy Goat,Not enough information to exclude
477,Northland,Field Pea,Not enough information to exclude
478,Northland,Forage Oat,Not enough information to exclude
479,Northland,Grape,Suitable - WWO
480,Northland,Honey-Manuka (Placeholder),Not enough information to exclude
481,Northland,Hops,Suitable - already grown
482,Northland,Kale,Not enough information to exclude
483,Northland,Kiwifruit (Gold),Suitable - already grown
484,Northland,Kiwifruit (Green),Suitable - already grown
485,Northland,Kiwifruit (HyperFarm),Not enough information to exclude
486,Northland,Lemon (Meyer),Suitable - already grown
487,Northland,Lemon (Yen Ben),Suitable - already grown
488,Northland,Lettuce,Not enough information to exclude
489,Northland,Macadamia,Suitable - already grown
490,Northland,Maize,Suitable - WWO
491,Northland,Mandarin (Encore),Suitable - already grown
492,Northland,Mandarin (Satsuma),Suitable - already grown
493,Northland,Native Bush,Not enough information to exclude
494,Northland,Native regen (Placeholder),Not enough information to exclude
495,Northland,Nectarine,Suitable - already grown
496,Northland,Onion,Suitable - already grown
497,Northland,Orange (Navel),Suitable - already grown
498,Northland,Orange (Valencia),Suitable - already grown
499,Northland,Pea,Not enough information to exclude
500,Northland,Peach,Suitable - already grown
501,Northland,Potato (Fresh Potato),Suitable - already grown
502,Northland,Potato (Process Potato),Suitable - already grown
503,Northland,Potato (Seed Potato),Not enough information to exclude
504,Northland,Potato (Summer Potato),Not enough information to exclude
505,Northland,Ryegrass Seed,Not enough information to exclude
506,Northland,Sheep/beef,Not enough information to exclude
507,Northland,Spinach,Not enough information to exclude
508,Northland,Squash,Suitable - already grown
509,Northland,Sweetcorn,Not enough information to exclude
510,Northland,Tomato,Not enough information to exclude
511,Northland,Truffle (Placeholder),Not enough information to exclude
512,Northland,Vining Pea,Suitable - WWO
513,Northland,Wheat,Suitable - WWO
514,Otago,Apple,Suitable - already grown
515,Otago,Apricot,Suitable - already grown
516,Otago,Arable Crop,Not enough information to exclude
517,Otago,Avocado,Unsuitable
518,Otago,Barley,Not enough information to exclude
519,Otago,Barley (grain),Not enough information to exclude
520,Otago,Beetroot,Not enough information to exclude
521,Otago,Blueberry,Suitable - already grown
522,Otago,Blueberry (HyperFarm),Not enough information to exclude
523,Otago,Broccoli,Not enough information to exclude
524,Otago,Cabbage,Not enough information to exclude
525,Otago,Carrot,Not enough information to exclude
526,Otago,Cauliflower,Not enough information to exclude
527,Otago,Cherry (CL),Suitable - already grown
528,Otago,Cherry (HyperFarm),Not enough information to exclude
529,Otago,Cherry (UFO),Suitable - already grown
530,Otago,Chestnut (Placeholder),Not enough information to exclude
531,Otago,Commercial Forest,Not enough information to exclude
532,Otago,Dairy,Not enough information to exclude
533,Otago,Dairy Goat,Not enough information to exclude
534,Otago,Field Pea,Suitable - already grown
535,Otago,Forage Oat,Not enough information to exclude
536,Otago,Grape,Suitable - already grown
