"","region","land_use","total_suitability"
"369","Otago","Vining Pea","Suitable - already grown"
"370","Otago","Wheat","Suitable - WWO"
"371","Southland","Apple","Not enough information to exclude"
"372","Southland","Apricot","Suitable - already grown"
"373","Southland","Avocado","Unsuitable"
"374","Southland","Barley","Not enough information to exclude"
"375","Southland","Beetroot","Not enough information to exclude"
"376","Southland","Blueberry","Suitable - already grown"
"377","Southland","Broad acre vegetable rotation","Unsuitable"
"378","Southland","Cherry (CL)","Suitable - already grown"
"379","Southland","Cherry (UFO)","Suitable - already grown"
"380","Southland","Commercial Forest","Suitable - already grown"
"381","Southland","Dairy","Suitable - already grown"
"382","Southland","Field Pea","Not enough information to exclude"
"383","Southland","Grape","Unsuitable"
"384","Southland","Hops","Suitable - already grown"
"385","Southland","Kale","Not enough information to exclude"
"386","Southland","Kiwifruit (Gold)","Suitable - WWO"
"387","Southland","Kiwifruit (Green)","Unsuitable"
"388","Southland","Lemon (Meyer)","Suitable - already grown"
"389","Southland","Lemon (Yen Ben)","Suitable - already grown"
"390","Southland","Macadamia","Suitable - already grown"
"391","Southland","Maize","Unsuitable"
"392","Southland","Mandarin (Encore)","Suitable - already grown"
"393","Southland","Mandarin (Satsuma)","Suitable - already grown"
"394","Southland","Native Bush","Suitable - already grown"
"395","Southland","Nectarine","Suitable - already grown"
"396","Southland","Onion","Suitable - WWO"
"397","Southland","Orange (Navel)","Suitable - already grown"
"398","Southland","Orange (Valencia)","Suitable - already grown"
"399","Southland","Peach","Suitable - already grown"
"400","Southland","Potato (Fresh Potato)","Suitable - already grown"
"401","Southland","Potato (Process Potato)","Suitable - already grown"
"402","Southland","Ryegrass Seed","Not enough information to exclude"
"403","Southland","Sheep/beef","Suitable - already grown"
"404","Southland","South Island arable rotation","Not enough information to exclude"
"405","Southland","Squash","Not enough information to exclude"
"406","Southland","Vining Pea","Suitable - WWO"
"407","Southland","Wheat","Suitable - WWO"
"408","Taranaki","Apple","Suitable - already grown"
"409","Taranaki","Apricot","Suitable - already grown"
"410","Taranaki","Avocado","Suitable - already grown"
"411","Taranaki","Barley","Not enough information to exclude"
"412","Taranaki","Beetroot","Not enough information to exclude"
"413","Taranaki","Blueberry","Suitable - already grown"
"414","Taranaki","Broad acre vegetable rotation","Not enough information to exclude"
"415","Taranaki","Cherry (CL)","Suitable - already grown"
"416","Taranaki","Cherry (UFO)","Suitable - already grown"
"417","Taranaki","Commercial Forest","Suitable - already grown"
"418","Taranaki","Dairy","Suitable - already grown"
"419","Taranaki","Field Pea","Not enough information to exclude"
"420","Taranaki","Grape","Suitable - WWO"
"421","Taranaki","Hops","Suitable - already grown"
"422","Taranaki","Kale","Not enough information to exclude"
"423","Taranaki","Kiwifruit (Gold)","Suitable - already grown"
"424","Taranaki","Kiwifruit (Green)","Suitable - already grown"
"425","Taranaki","Lemon (Meyer)","Suitable - already grown"
"426","Taranaki","Lemon (Yen Ben)","Suitable - already grown"
"427","Taranaki","Macadamia","Suitable - already grown"
"428","Taranaki","Maize","Suitable - WWO"
"429","Taranaki","Mandarin (Encore)","Suitable - already grown"
"430","Taranaki","Mandarin (Satsuma)","Suitable - already grown"
"431","Taranaki","Native Bush","Suitable - already grown"
"432","Taranaki","Nectarine","Suitable - already grown"
"433","Taranaki","Onion","Suitable - WWO"
"434","Taranaki","Orange (Navel)","Suitable - already grown"
"435","Taranaki","Orange (Valencia)","Suitable - already grown"
"436","Taranaki","Peach","Suitable - already grown"
"437","Taranaki","Potato (Fresh Potato)","Suitable - already grown"
"438","Taranaki","Potato (Process Potato)","Suitable - already grown"
"439","Taranaki","Ryegrass Seed","Not enough information to exclude"
"440","Taranaki","Sheep/beef","Suitable - already grown"
"441","Taranaki","South Island arable rotation","Not enough information to exclude"
"442","Taranaki","Squash","Not enough information to exclude"
"443","Taranaki","Vining Pea","Suitable - WWO"
"444","Taranaki","Wheat","Suitable - WWO"
"445","Tasman","Apple","Not enough information to exclude"
"446","Tasman","Apricot","Not enough information to exclude"
"447","Tasman","Avocado","Unsuitable"
"448","Tasman","Barley","Not enough information to exclude"
"449","Tasman","Beetroot","Not enough information to exclude"
"450","Tasman","Blueberry","Suitable - WWO"
"451","Tasman","Broad acre vegetable rotation","Unsuitable"
"452","Tasman","Cherry (CL)","Suitable - WWO"
"453","Tasman","Cherry (UFO)","Suitable - WWO"
"454","Tasman","Commercial Forest","Suitable - already grown"
"455","Tasman","Dairy","Suitable - already grown"
"456","Tasman","Field Pea","Not enough information to exclude"
"457","Tasman","Grape","Suitable - already grown"
"458","Tasman","Hops","Suitable - already grown"
"459","Tasman","Kale","Not enough information to exclude"
"460","Tasman","Kiwifruit (Gold)","Suitable - WWO"
"461","Tasman","Kiwifruit (Green)","Unsuitable"
"462","Tasman","Lemon (Meyer)","Not enough information to exclude"
"463","Tasman","Lemon (Yen Ben)","Not enough information to exclude"
"464","Tasman","Macadamia","Not enough information to exclude"
"465","Tasman","Maize","Suitable - WWO"
"466","Tasman","Mandarin (Encore)","Not enough information to exclude"
"467","Tasman","Mandarin (Satsuma)","Not enough information to exclude"
"468","Tasman","Native Bush","Suitable - already grown"
"469","Tasman","Nectarine","Not enough information to exclude"
"470","Tasman","Onion","Unsuitable"
"471","Tasman","Orange (Navel)","Not enough information to exclude"
"472","Tasman","Orange (Valencia)","Not enough information to exclude"
"473","Tasman","Peach","Not enough information to exclude"
"474","Tasman","Potato (Fresh Potato)","Suitable - WWO"
"475","Tasman","Potato (Process Potato)","Suitable - WWO"
"476","Tasman","Ryegrass Seed","Not enough information to exclude"
"477","Tasman","Sheep/beef","Suitable - already grown"
"478","Tasman","South Island arable rotation","Unsuitable"
"479","Tasman","Squash","Not enough information to exclude"
"480","Tasman","Vining Pea","Suitable - WWO"
"481","Tasman","Wheat","Suitable - WWO"
"482","Waikato","Apple","Suitable - already grown"
"483","Waikato","Apricot","Suitable - already grown"
"484","Waikato","Avocado","Suitable - already grown"
"485","Waikato","Barley","Not enough information to exclude"
"486","Waikato","Beetroot","Not enough information to exclude"
"487","Waikato","Blueberry","Suitable - already grown"
"488","Waikato","Broad acre vegetable rotation","Not enough information to exclude"
"489","Waikato","Cherry (CL)","Suitable - already grown"
"490","Waikato","Cherry (UFO)","Suitable - already grown"
"491","Waikato","Commercial Forest","Suitable - already grown"
"492","Waikato","Dairy","Suitable - already grown"
"493","Waikato","Field Pea","Not enough information to exclude"
"494","Waikato","Grape","Suitable - WWO"
"495","Waikato","Hops","Suitable - already grown"
"496","Waikato","Kale","Not enough information to exclude"
"497","Waikato","Kiwifruit (Gold)","Suitable - already grown"
"498","Waikato","Kiwifruit (Green)","Suitable - already grown"
"499","Waikato","Lemon (Meyer)","Suitable - already grown"
"500","Waikato","Lemon (Yen Ben)","Suitable - already grown"
"501","Waikato","Macadamia","Suitable - already grown"
"502","Waikato","Maize","Suitable - WWO"
"503","Waikato","Mandarin (Encore)","Suitable - already grown"
"504","Waikato","Mandarin (Satsuma)","Suitable - already grown"
"505","Waikato","Native Bush","Suitable - already grown"
"506","Waikato","Nectarine","Suitable - already grown"
"507","Waikato","Onion","Suitable - already grown"
"508","Waikato","Orange (Navel)","Suitable - already grown"
"509","Waikato","Orange (Valencia)","Suitable - already grown"
"510","Waikato","Peach","Suitable - already grown"
"511","Waikato","Potato (Fresh Potato)","Suitable - already grown"
"512","Waikato","Potato (Process Potato)","Suitable - already grown"
"513","Waikato","Ryegrass Seed","Not enough information to exclude"
"514","Waikato","Sheep/beef","Suitable - already grown"
"515","Waikato","South Island arable rotation","Not enough information to exclude"
"516","Waikato","Squash","Suitable - already grown"
"517","Waikato","Vining Pea","Suitable - WWO"
"518","Waikato","Wheat","Suitable - WWO"
